Fighter,date,H_odds,A_odds
Chuck Liddell,2010-06-12,-119.0,109.0
Mirko Cro Cop,2010-06-12,163.0,-173.0
Paulo Thiago,2010-06-12,-218.0,198.0
Ben Rothwell,2010-06-12,170.0,-185.0
Carlos Condit,2010-06-12,118.0,-128.0
David Loiseau,2010-06-12,205.0,-245.0
Mac Danzig,2010-06-12,-102.0,-108.0
James Wilks,2010-06-12,-325.0,265.0
Mario Miranda,2010-06-12,-245.0,205.0
Ricardo Funch,2010-06-12,215.0,-255.0
Mike Pyle,2010-06-12,110.0,-130.0
Tyson Griffin,2010-06-12,-180.0,168.0
Claude Patrick,2010-06-12,-255.0,215.0
Peter Sobotta,2010-06-12,265.0,-325.0
Gilbert Yvel,2010-06-12,-185.0,170.0
Rich Franklin,2010-06-12,109.0,-119.0
Pat Barry,2010-06-12,-173.0,163.0
Martin Kampmann,2010-06-12,198.0,-218.0
Rory MacDonald,2010-06-12,-128.0,118.0
Matt Wiman,2010-06-12,-108.0,-102.0
Evan Dunham,2010-06-12,168.0,-180.0
Brad Tavares,2010-06-19,-220.0,180.0
Dennis Siver,2010-06-19,165.0,-190.0
Rich Attonito,2010-06-19,-140.0,120.0
Mark Holst,2010-06-19,170.0,-200.0
Seth Baczynski,2010-06-19,180.0,-220.0
Kyle Noke,2010-06-19,-175.0,155.0
James Hammortree,2010-06-19,140.0,-160.0
Travis Browne,2010-06-19,-190.0,165.0
John Gunderson,2010-06-19,-200.0,170.0
Court McGee,2010-06-19,-220.0,180.0
Chris Leben,2010-06-19,280.0,-310.0
Spencer Fisher,2010-06-19,-190.0,165.0
Aaron Simpson,2010-06-19,-310.0,280.0
Jamie Yager,2010-06-19,120.0,-140.0
James McSweeney,2010-06-19,165.0,-190.0
Chris Camozzi,2010-06-19,-160.0,140.0
Josh Bryant,2010-06-19,155.0,-175.0
Keith Jardine,2010-06-19,140.0,-150.0
Kris McCray,2010-06-19,180.0,-220.0
Matt Hamill,2010-06-19,-150.0,140.0
