Fighter,date,H_odds,A_odds
Francisco Trinaldo,2013-09-04,-310.0,280.0
Ali Bagautinov,2013-09-04,-345.0,315.0
Joseph Benavidez,2013-09-04,-720.0,580.0
Tor Troeng,2013-09-04,230.0,-250.0
Piotr Hallmann,2013-09-04,280.0,-310.0
Yushin Okami,2013-09-04,210.0,-230.0
Jussier Formiga,2013-09-04,580.0,-720.0
Sean Spencer,2013-09-04,200.0,-220.0
Ivan Jorge,2013-09-04,-280.0,255.0
Jacare Souza,2013-09-04,-230.0,210.0
Glover Teixeira,2013-09-04,-330.0,300.0
Nandor Guelmino,2013-09-21,230.0,-250.0
Roland Delorme,2013-09-21,130.0,-140.0
Stephen Thompson,2013-09-21,-430.0,380.0
John Makdessi,2013-09-21,-150.0,140.0
Ivan Menjivar,2013-09-21,-125.0,115.0
Alexander Gustafsson,2013-09-21,660.0,-840.0
Jesse Ronson,2013-09-21,-115.0,105.0
Mitch Gagnon,2013-09-21,150.0,-160.0
Wilson Reis,2013-09-21,115.0,-125.0
Myles Jury,2013-09-21,-420.0,375.0
Khabib Nurmagomedov,2013-09-21,-265.0,245.0
Francis Carmont,2013-09-21,135.0,-145.0
Matt Mitrione,2013-09-21,-155.0,145.0
Dustin Kimura,2013-09-21,-160.0,150.0
Daniel Omielanczuk,2013-09-21,-250.0,230.0
Renee Forte,2013-09-21,140.0,-150.0
Mike Ricci,2013-09-21,375.0,-420.0
Pat Healy,2013-09-21,245.0,-265.0
Costas Philippou,2013-09-21,-145.0,135.0
Michel Prazeres,2013-09-21,105.0,-115.0
Brendan Schaub,2013-09-21,145.0,-155.0
Renan Barao,2013-09-21,-750.0,600.0
Jon Jones,2013-09-21,-840.0,660.0
Chris Clements,2013-09-21,380.0,-430.0
Eddie Wineland,2013-09-21,600.0,-750.0
Alex Caceres,2013-09-21,-140.0,130.0
Raphael Assuncao,2013-10-09,210.0,-230.0
Yan Cabral,2013-10-09,-310.0,280.0
Iliarde Santos,2013-10-09,-345.0,315.0
Alan Patrick,2013-10-09,-255.0,215.0
Fabio Maldonado,2013-10-09,-155.0,145.0
Thiago Silva,2013-10-09,-380.0,340.0
Erick Silva,2013-10-09,-170.0,160.0
Demian Maia,2013-10-09,-355.0,295.0
Jake Shields,2013-10-09,295.0,-355.0
Dong Hyun Kim,2013-10-09,160.0,-170.0
Joey Beltran,2013-10-09,145.0,-155.0
Mike Pierce,2013-10-09,-230.0,210.0
TJ Dillashaw,2013-10-09,-230.0,210.0
Igor Araujo,2013-10-09,315.0,-345.0
David Mitchell,2013-10-09,280.0,-310.0
Chris Cariaso,2013-10-09,315.0,-345.0
Garett Whiteley,2013-10-09,215.0,-255.0
Rousimar Palhares,2013-10-09,210.0,-230.0
Matt Hamill,2013-10-09,340.0,-380.0
Ildemar Alcantara,2013-10-09,-345.0,315.0
Dustin Pague,2013-10-19,135.0,-145.0
Cain Velasquez,2013-10-19,-200.0,185.0
Roy Nelson,2013-10-19,435.0,-500.0
Jeremy Larsen,2013-10-19,185.0,-200.0
Hector Lombard,2013-10-19,-185.0,170.0
KJ Noons,2013-10-19,-145.0,135.0
John Dodson,2013-10-19,-400.0,355.0
Diego Sanchez,2013-10-19,465.0,-545.0
Nate Marquardt,2013-10-19,170.0,-185.0
Tony Ferguson,2013-10-19,-420.0,375.0
CB Dollaway,2013-10-19,135.0,-145.0
Gilbert Melendez,2013-10-19,-545.0,465.0
Andre Fili,2013-10-19,-200.0,185.0
Kyoji Horiguchi,2013-10-19,-145.0,135.0
George Sotiropoulos,2013-10-19,135.0,-145.0
Mike Rio,2013-10-19,375.0,-420.0
Darrell Montague,2013-10-19,355.0,-400.0
Shawn Jordan,2013-10-19,-155.0,135.0
Gabriel Gonzaga,2013-10-19,135.0,-155.0
Junior Dos Santos,2013-10-19,185.0,-200.0
Sarah Kaufman,2013-10-19,-190.0,175.0
TJ Waldburger,2013-10-19,175.0,-190.0
Adlan Amagov,2013-10-19,-190.0,175.0
Daniel Cormier,2013-10-19,-500.0,435.0
Tim Boetsch,2013-10-19,-145.0,135.0
Jessica Eye,2013-10-19,175.0,-190.0
Melvin Guillard,2013-10-26,-140.0,130.0
Mark Munoz,2013-10-26,340.0,-380.0
Jon Tuck,2013-10-26,165.0,-175.0
Nico Musoke,2013-10-26,165.0,-175.0
Phil Harris,2013-10-26,375.0,-420.0
Ryan Jimmo,2013-10-26,140.0,-150.0
Bradley Scott,2013-10-26,295.0,-325.0
Al Iaquinta,2013-10-26,-160.0,150.0
Luke Barnatt,2013-10-26,185.0,-200.0
Ross Pearson,2013-10-26,130.0,-140.0
Jimi Manuwa,2013-10-26,-150.0,140.0
Michael Kuiper,2013-10-26,-325.0,295.0
Alessio Sakara,2013-10-26,-175.0,165.0
Jimy Hettes,2013-10-26,-440.0,390.0
Andy Ogle,2013-10-26,185.0,-200.0
Rosi Sexton,2013-10-26,110.0,-120.0
Cole Miller,2013-10-26,-200.0,185.0
Lyoto Machida,2013-10-26,-380.0,340.0
Norman Parke,2013-10-26,-175.0,165.0
Rob Whiteford,2013-10-26,390.0,-440.0
Jessica Andrade,2013-10-26,-120.0,110.0
Andrew Craig,2013-10-26,-200.0,185.0
Piotr Hallmann,2013-10-26,150.0,-160.0
John Lineker,2013-10-26,-420.0,375.0
Jorge Masvidal,2013-11-06,125.0,-135.0
Ronny Markes,2013-11-06,145.0,-155.0
Liz Carmouche,2013-11-06,-190.0,165.0
Seth Baczynski,2013-11-06,135.0,-145.0
Yancy Medeiros,2013-11-06,-255.0,235.0
Tim Kennedy,2013-11-06,-380.0,340.0
Brian Houston,2013-11-06,160.0,-170.0
Lorenz Larkin,2013-11-06,-420.0,375.0
Germaine de Randamie,2013-11-06,-125.0,115.0
Francisco Rivera,2013-11-06,-135.0,125.0
James Krause,2013-11-06,-115.0,105.0
Michael Chiesa,2013-11-06,-120.0,110.0
Rustam Khabilov,2013-11-06,-135.0,125.0
Yoel Romero,2013-11-06,-155.0,145.0
Alexis Davis,2013-11-06,165.0,-190.0
Rafael Natal,2013-11-06,340.0,-380.0
Derek Brunson,2013-11-06,-170.0,160.0
Neil Magny,2013-11-06,-145.0,135.0
Yves Edwards,2013-11-06,235.0,-255.0
Chris Camozzi,2013-11-06,375.0,-420.0
Amanda Nunes,2013-11-06,115.0,-125.0
Dennis Bermudez,2013-11-06,-190.0,175.0
Steven Siler,2013-11-06,175.0,-190.0
George Roop,2013-11-06,125.0,-135.0
Bobby Green,2013-11-06,105.0,-115.0
Colton Smith,2013-11-06,110.0,-120.0
Ryan LaFlare,2013-11-09,-115.0,105.0
Brandon Thatch,2013-11-09,-360.0,325.0
Jose Maria,2013-11-09,-115.0,105.0
Vitor Belfort,2013-11-09,-220.0,200.0
Adriano Martins,2013-11-09,130.0,-140.0
Igor Pokrajac,2013-11-09,290.0,-320.0
Thiago Tavares,2013-11-09,-245.0,225.0
Thiago Perpetuo,2013-11-09,140.0,-150.0
Daniel Sarafian,2013-11-09,155.0,-165.0
Godofredo Pepey,2013-11-09,-120.0,110.0
Dustin Ortiz,2013-11-09,105.0,-115.0
Rony Jason,2013-11-09,-185.0,170.0
Dan Henderson,2013-11-09,200.0,-220.0
Daron Cruickshank,2013-11-09,-140.0,130.0
Justin Salas,2013-11-09,225.0,-245.0
Santiago Ponzinibbio,2013-11-09,105.0,-115.0
Omari Akhmedov,2013-11-09,-150.0,140.0
Paulo Thiago,2013-11-09,325.0,-360.0
Rafael Feijao,2013-11-09,-320.0,290.0
Cezar Ferreira,2013-11-09,-165.0,155.0
Sam Sicilia,2013-11-09,110.0,-120.0
Jeremy Stephens,2013-11-09,170.0,-185.0
Donald Cerrone,2013-11-16,-125.0,115.0
Ed Herman,2013-11-16,165.0,-175.0
Jason High,2013-11-16,-320.0,290.0
Brian Ebersole,2013-11-16,190.0,-210.0
Josh Koscheck,2013-11-16,100.0,-110.0
Tim Elliott,2013-11-16,-160.0,150.0
Erik Perez,2013-11-16,-425.0,378.0
Will Campuzano,2013-11-16,355.0,-400.0
Cody Donovan,2013-11-16,310.0,-340.0
Rashad Evans,2013-11-16,-240.0,220.0
Sergio Pettis,2013-11-16,-400.0,355.0
Anthony Lapsley,2013-11-16,290.0,-320.0
Edwin Figueroa,2013-11-16,378.0,-425.0
Rick Story,2013-11-16,-210.0,190.0
Thales Leites,2013-11-16,-175.0,165.0
Evan Dunham,2013-11-16,115.0,-125.0
Ali Bagautinov,2013-11-16,150.0,-160.0
Robbie Lawler,2013-11-16,365.0,-410.0
Chael Sonnen,2013-11-16,220.0,-240.0
Gian Villante,2013-11-16,-340.0,310.0
Tyron Woodley,2013-11-16,-110.0,100.0
Johny Hendricks,2013-11-16,177.0,-192.0
Georges St-Pierre,2013-11-16,-192.0,177.0
Rory MacDonald,2013-11-16,-410.0,365.0
Drew Dober,2013-11-30,210.0,-230.0
Walt Harris,2013-11-30,225.0,-245.0
Maximo Blanco,2013-11-30,-192.0,177.0
Raquel Pennington,2013-11-30,-450.0,400.0
Peggy Morgan,2013-11-30,225.0,-245.0
Davey Grant,2013-11-30,185.0,-200.0
Jessica Rakoczy,2013-11-30,260.0,-290.0
Nate Diaz,2013-11-30,110.0,-120.0
Ryan Benoit,2013-11-30,105.0,-115.0
Tom Niinimaki,2013-11-30,-105.0,-105.0
Jared Rosholt,2013-11-30,-245.0,225.0
Julianna Pena,2013-11-30,-290.0,260.0
Gray Maynard,2013-11-30,-120.0,110.0
Jessamyn Duke,2013-11-30,-245.0,225.0
Chris Holdsworth,2013-11-30,-200.0,185.0
Joshua Sampo,2013-11-30,-115.0,105.0
Sean Spencer,2013-11-30,-230.0,210.0
Rani Yahya,2013-11-30,-105.0,-105.0
Roxanne Modafferi,2013-11-30,400.0,-450.0
Akira Corassani,2013-11-30,177.0,-192.0
Clint Hester,2013-12-06,130.0,-140.0
Nam Phan,2013-12-06,295.0,-325.0
Soa Palelei,2013-12-06,160.0,-170.0
Anthony Perosh,2013-12-06,450.0,-525.0
Caio Magalhaes,2013-12-06,165.0,-190.0
Justin Scoggins,2013-12-06,-340.0,310.0
Ryan Bader,2013-12-06,-525.0,450.0
Alex Garcia,2013-12-06,-660.0,540.0
Ben Wall,2013-12-06,540.0,-660.0
Mark Hunt,2013-12-06,140.0,-150.0
Julie Kedzie,2013-12-06,-170.0,160.0
Krzysztof Jotko,2013-12-06,215.0,-235.0
Nick Ring,2013-12-06,-190.0,165.0
Richie Vaculik,2013-12-06,310.0,-340.0
Takeya Mizugaki,2013-12-06,-325.0,295.0
Bethe Correia,2013-12-06,160.0,-170.0
Mauricio Rua,2013-12-06,125.0,-135.0
Pat Barry,2013-12-06,-170.0,160.0
Antonio Silva,2013-12-06,-150.0,140.0
James Te Huna,2013-12-06,-135.0,125.0
Bruno Santos,2013-12-06,-235.0,215.0
Dylan Andrews,2013-12-06,-140.0,130.0
Sam Stout,2013-12-14,-265.0,245.0
Abel Trujillo,2013-12-14,130.0,-140.0
Mac Danzig,2013-12-14,165.0,-175.0
Darren Uyenoyama,2013-12-14,210.0,-230.0
Michael McDonald,2013-12-14,130.0,-150.0
Joseph Benavidez,2013-12-14,125.0,-135.0
Nik Lentz,2013-12-14,600.0,-900.0
Danny Castillo,2013-12-14,255.0,-280.0
Edson Barboza,2013-12-14,-280.0,255.0
Pat Healy,2013-12-14,-150.0,140.0
Zach Makovsky,2013-12-14,200.0,-220.0
Cody McKenzie,2013-12-14,245.0,-265.0
Roger Bowling,2013-12-14,-140.0,130.0
Alptekin Ozkilic,2013-12-14,-230.0,210.0
Scott Jorgensen,2013-12-14,-220.0,200.0
Demetrious Johnson,2013-12-14,-135.0,125.0
Urijah Faber,2013-12-14,-150.0,130.0
Chad Mendes,2013-12-14,-900.0,600.0
Joe Lauzon,2013-12-14,-175.0,165.0
Court McGee,2013-12-14,110.0,-120.0
Ryan LaFlare,2013-12-14,-120.0,110.0
Bobby Green,2013-12-14,140.0,-150.0
Miesha Tate,2013-12-28,555.0,-680.0
Robert Peralta,2013-12-28,-165.0,155.0
Manvel Gamburyan,2013-12-28,280.0,-310.0
Siyar Bahadurzada,2013-12-28,-145.0,135.0
Bobby Voelker,2013-12-28,-130.0,120.0
Estevan Payan,2013-12-28,155.0,-165.0
Diego Brandao,2013-12-28,220.0,-240.0
Fabricio Camoes,2013-12-28,375.0,-420.0
Anderson Silva,2013-12-28,-175.0,165.0
Travis Browne,2013-12-28,125.0,-135.0
Michael Johnson,2013-12-28,135.0,-145.0
Chris Weidman,2013-12-28,165.0,-175.0
Josh Barnett,2013-12-28,-135.0,125.0
Jim Miller,2013-12-28,-420.0,375.0
Dustin Poirier,2013-12-28,-240.0,220.0
Chris Leben,2013-12-28,295.0,-325.0
Gleison Tibau,2013-12-28,-145.0,135.0
Dennis Siver,2013-12-28,-310.0,280.0
John Howard,2013-12-28,135.0,-145.0
William Patolino,2013-12-28,120.0,-130.0
Ronda Rousey,2013-12-28,-680.0,555.0
Uriah Hall,2013-12-28,-325.0,295.0
Mairbek Taisumov,2014-01-04,-350.0,318.0
Royston Wee,2014-01-04,175.0,-190.0
Leandro Issa,2014-01-04,-120.0,110.0
Katsunori Kikuno,2014-01-04,-165.0,155.0
Dustin Kimura,2014-01-04,-360.0,325.0
Kyung Ho Kang,2014-01-04,-325.0,295.0
Tatsuya Kawajiri,2014-01-04,-102.0,-108.0
Russell Doane,2014-01-04,110.0,-120.0
Jon Delos Reyes,2014-01-04,325.0,-360.0
Tae Hyun Bang,2014-01-04,318.0,-350.0
Dave Galera,2014-01-04,-190.0,175.0
Quinn Mulhern,2014-01-04,155.0,-165.0
Will Chope,2014-01-04,245.0,-265.0
Shunichi Shimizu,2014-01-04,295.0,-325.0
Luiz Dutra,2014-01-04,-160.0,140.0
Sean Soriano,2014-01-04,-108.0,-102.0
Kiichi Kunimoto,2014-01-04,140.0,-160.0
Hyun Gyu Lim,2014-01-04,200.0,-240.0
Max Holloway,2014-01-04,-265.0,245.0
Tarec Saffiedine,2014-01-04,-240.0,200.0
Yoel Romero,2014-01-15,-210.0,190.0
John Moraga,2014-01-15,-210.0,190.0
Cole Miller,2014-01-15,-120.0,110.0
Ramsey Nijem,2014-01-15,-155.0,145.0
Alptekin Ozkilic,2014-01-15,-270.0,248.0
Vinc Pichel,2014-01-15,-150.0,140.0
Charlie Brenneman,2014-01-15,-200.0,185.0
TJ Dillashaw,2014-01-15,-330.0,270.0
Isaac Vallie-Flagg,2014-01-15,165.0,-175.0
Costas Philippou,2014-01-15,360.0,-405.0
Mike Easton,2014-01-15,270.0,-330.0
Derek Brunson,2014-01-15,190.0,-210.0
Dustin Ortiz,2014-01-15,190.0,-210.0
Sam Sicilia,2014-01-15,110.0,-120.0
Justin Edwards,2014-01-15,145.0,-155.0
Elias Silverio,2014-01-15,-175.0,165.0
Brian Houston,2014-01-15,120.0,-130.0
Louis Smolka,2014-01-15,248.0,-270.0
Garett Whiteley,2014-01-15,140.0,-150.0
Beneil Dariush,2014-01-15,185.0,-200.0
Lorenz Larkin,2014-01-15,-260.0,240.0
Brad Tavares,2014-01-15,240.0,-260.0
Luke Rockhold,2014-01-15,-405.0,360.0
Trevor Smith,2014-01-15,-130.0,120.0
Benson Henderson,2014-01-25,-310.0,280.0
Darren Elkins,2014-01-25,105.0,-115.0
Alex Caceres,2014-01-25,177.0,-192.0
Eddie Wineland,2014-01-25,-500.0,400.0
Daron Cruickshank,2014-01-25,-240.0,220.0
Walt Harris,2014-01-25,-400.0,355.0
Chico Camus,2014-01-25,-185.0,170.0
Junior Hernandez,2014-01-25,290.0,-320.0
Josh Thomson,2014-01-25,280.0,-310.0
Gabriel Gonzaga,2014-01-25,260.0,-290.0
Adriano Martins,2014-01-25,160.0,-170.0
Sergio Pettis,2014-01-25,-192.0,177.0
Yves Jabouin,2014-01-25,400.0,-500.0
Yaotzin Meza,2014-01-25,170.0,-185.0
Hugo Viana,2014-01-25,-320.0,290.0
Mike Rio,2014-01-25,220.0,-240.0
Mike Rhodes,2014-01-25,-280.0,255.0
Nikita Krylov,2014-01-25,355.0,-400.0
George Sullivan,2014-01-25,255.0,-280.0
Donald Cerrone,2014-01-25,-170.0,160.0
Stipe Miocic,2014-01-25,-290.0,260.0
Jeremy Stephens,2014-01-25,-115.0,105.0
John Makdessi,2014-02-01,-125.0,115.0
Renan Barao,2014-02-01,-335.0,305.0
Jose Aldo,2014-02-01,-750.0,600.0
Frank Mir,2014-02-01,375.0,-420.0
John Lineker,2014-02-01,135.0,-145.0
Jamie Varner,2014-02-01,-115.0,105.0
Chris Cariaso,2014-02-01,-170.0,160.0
Nick Catone,2014-02-01,115.0,-125.0
Al Iaquinta,2014-02-01,-150.0,140.0
Neil Magny,2014-02-01,135.0,-145.0
Clint Hester,2014-02-01,-200.0,185.0
Anthony Rocco Martin,2014-02-01,130.0,-140.0
Urijah Faber,2014-02-01,305.0,-335.0
Danny Martinez,2014-02-01,160.0,-170.0
Tom Watson,2014-02-01,-125.0,115.0
Kevin Lee,2014-02-01,140.0,-150.0
Andy Enz,2014-02-01,185.0,-200.0
Rashid Magomedov,2014-02-01,-140.0,130.0
Gasan Umalatov,2014-02-01,-145.0,135.0
Alan Patrick,2014-02-01,115.0,-125.0
Ricardo Lamas,2014-02-01,600.0,-750.0
Alistair Overeem,2014-02-01,-420.0,375.0
Ali Bagautinov,2014-02-01,-145.0,135.0
Abel Trujillo,2014-02-01,105.0,-115.0
Felipe Arantes,2014-02-15,100.0,-110.0
Nico Musoke,2014-02-15,125.0,-135.0
Iuri Alcantara,2014-02-15,-215.0,195.0
Zubaira Tukhugov,2014-02-15,-105.0,-105.0
Viscardi Andrade,2014-02-15,-135.0,125.0
Maximo Blanco,2014-02-15,-110.0,100.0
Wilson Reis,2014-02-15,195.0,-215.0
Jesse Ronson,2014-02-15,145.0,-155.0
Ivan Jorge,2014-02-15,-160.0,150.0
Francisco Trinaldo,2014-02-15,-155.0,145.0
Rodrigo Damm,2014-02-15,150.0,-160.0
Cristiano Marcello,2014-02-15,230.0,-250.0
Lyoto Machida,2014-02-15,-210.0,190.0
Jacare Souza,2014-02-15,-500.0,435.0
Erick Silva,2014-02-15,-1100.0,900.0
Joe Proctor,2014-02-15,-250.0,230.0
Douglas Silva de Andrade,2014-02-15,-105.0,-105.0
Takenori Sato,2014-02-15,900.0,-1100.0
Ildemar Alcantara,2014-02-15,195.0,-215.0
Albert Tumenov,2014-02-15,-215.0,195.0
Gegard Mousasi,2014-02-15,190.0,-210.0
Andy Ogle,2014-02-15,590.0,-735.0
Charles Oliveira,2014-02-15,-735.0,590.0
Francis Carmont,2014-02-15,435.0,-500.0
Mike Pyle,2014-02-22,-165.0,155.0
Rory MacDonald,2014-02-22,-290.0,260.0
Daniel Cormier,2014-02-22,-750.0,600.0
Yosdenis Cedeno,2014-02-22,-305.0,275.0
Zach Makovsky,2014-02-22,-230.0,210.0
Demian Maia,2014-02-22,260.0,-290.0
TJ Waldburger,2014-02-22,155.0,-165.0
Robert Whittaker,2014-02-22,120.0,-130.0
Jessica Eye,2014-02-22,140.0,-150.0
Pedro Munhoz,2014-02-22,248.0,-270.0
Rafaello Oliveira,2014-02-22,423.0,-480.0
Erik Koch,2014-02-22,-480.0,423.0
Joshua Sampo,2014-02-22,210.0,-230.0
Sara McMann,2014-02-22,325.0,-360.0
Patrick Cummins,2014-02-22,600.0,-750.0
Raphael Assuncao,2014-02-22,-270.0,248.0
Alexis Davis,2014-02-22,-150.0,140.0
Ernest Chavez,2014-02-22,275.0,-305.0
Aljamain Sterling,2014-02-22,-340.0,280.0
Cody Gibson,2014-02-22,280.0,-340.0
Stephen Thompson,2014-02-22,-130.0,120.0
Ronda Rousey,2014-02-22,-360.0,325.0
An Ying Wang,2014-03-01,-135.0,125.0
Jumabieke Tuerxun,2014-03-01,-440.0,390.0
Albert Cheng,2014-03-01,125.0,-135.0
Nam Phan,2014-03-01,-160.0,150.0
Vaughan Lee,2014-03-01,150.0,-160.0
Shawn Jordan,2014-03-01,105.0,-115.0
Kazuki Tokudome,2014-03-01,185.0,-200.0
Hatsu Hioki,2014-03-01,-475.0,420.0
Matt Mitrione,2014-03-01,-115.0,105.0
Sai Wang,2014-03-01,-295.0,265.0
Yui Chul Nam,2014-03-01,-200.0,185.0
Dong Hyun Kim,2014-03-01,-290.0,260.0
Mark Eddiva,2014-03-01,390.0,-440.0
Ivan Menjivar,2014-03-01,420.0,-475.0
Zhang Lipeng,2014-03-01,265.0,-295.0
John Hathaway,2014-03-01,260.0,-290.0
Cyrille Diabate,2014-03-08,125.0,-135.0
Louis Gaudinot,2014-03-08,-165.0,155.0
Danny Mitchell,2014-03-08,225.0,-265.0
Claudio Silva,2014-03-08,205.0,-225.0
Mats Nilsson,2014-03-08,345.0,-430.0
Ilir Latifi,2014-03-08,-135.0,125.0
Omari Akhmedov,2014-03-08,255.0,-280.0
Phil Harris,2014-03-08,155.0,-165.0
Igor Araujo,2014-03-08,-265.0,225.0
Melvin Guillard,2014-03-08,140.0,-150.0
Alexander Gustafsson,2014-03-08,-525.0,450.0
Michael Johnson,2014-03-08,-150.0,140.0
Brad Pickett,2014-03-08,-1000.0,800.0
Gunnar Nelson,2014-03-08,-280.0,255.0
Luke Barnatt,2014-03-08,-430.0,345.0
Bradley Scott,2014-03-08,-225.0,205.0
Jimi Manuwa,2014-03-08,450.0,-525.0
Neil Seery,2014-03-08,800.0,-1000.0
Carlos Condit,2014-03-15,-200.0,185.0
Bubba McDaniel,2014-03-15,145.0,-155.0
Will Campuzano,2014-03-15,550.0,-675.0
Renee Forte,2014-03-15,-155.0,145.0
Sean Spencer,2014-03-15,290.0,-320.0
Johny Hendricks,2014-03-15,-365.0,328.0
Diego Sanchez,2014-03-15,160.0,-170.0
Jake Shields,2014-03-15,160.0,-170.0
Ovince Saint Preux,2014-03-15,-500.0,435.0
Kelvin Gastelum,2014-03-15,-170.0,160.0
Daniel Pineda,2014-03-15,-210.0,190.0
Raquel Pennington,2014-03-15,230.0,-250.0
Dennis Bermudez,2014-03-15,-260.0,240.0
Hector Lombard,2014-03-15,-170.0,160.0
Tyron Woodley,2014-03-15,185.0,-200.0
Robbie Lawler,2014-03-15,328.0,-365.0
Rick Story,2014-03-15,160.0,-170.0
Jessica Andrade,2014-03-15,-250.0,230.0
Jimy Hettes,2014-03-15,240.0,-260.0
Myles Jury,2014-03-15,-170.0,160.0
Nikita Krylov,2014-03-15,435.0,-500.0
Sean Strickland,2014-03-15,-155.0,145.0
Alex Garcia,2014-03-15,-320.0,290.0
Justin Scoggins,2014-03-15,-675.0,550.0
Rob Whiteford,2014-03-15,190.0,-210.0
Francisco Trevino,2014-03-15,145.0,-155.0
Dan Henderson,2014-03-23,155.0,-165.0
Hans Stringer,2014-03-23,125.0,-135.0
Godofredo Pepey,2014-03-23,285.0,-315.0
Noad Lahat,2014-03-23,-315.0,285.0
Scott Jorgensen,2014-03-23,-185.0,170.0
Thiago Perpetuo,2014-03-23,-135.0,125.0
Mairbek Taisumov,2014-03-23,-315.0,285.0
Francimar Barroso,2014-03-23,-135.0,125.0
Gian Villante,2014-03-23,-290.0,260.0
Norman Parke,2014-03-23,-305.0,275.0
Thiago Santos,2014-03-23,660.0,-840.0
Steven Siler,2014-03-23,170.0,-185.0
Kenny Robertson,2014-03-23,125.0,-135.0
Fabio Maldonado,2014-03-23,260.0,-290.0
Ronny Markes,2014-03-23,-840.0,660.0
Michel Prazeres,2014-03-23,285.0,-315.0
Leonardo Santos,2014-03-23,275.0,-305.0
CB Dollaway,2014-03-23,340.0,-380.0
Rony Jason,2014-03-23,-185.0,170.0
Jussier Formiga,2014-03-23,170.0,-185.0
Mauricio Rua,2014-03-23,-165.0,155.0
Cezar Ferreira,2014-03-23,-380.0,340.0
Tatsuya Kawajiri,2014-04-11,130.0,-140.0
Trevor Smith,2014-04-11,465.0,-545.0
Jared Rosholt,2014-04-11,-280.0,255.0
Johnny Bedford,2014-04-11,160.0,-170.0
Roy Nelson,2014-04-11,-160.0,150.0
John Howard,2014-04-11,365.0,-410.0
Jim Alers,2014-04-11,-230.0,210.0
Ramsey Nijem,2014-04-11,235.0,-255.0
Daniel Omielanczuk,2014-04-11,255.0,-280.0
Beneil Dariush,2014-04-11,-255.0,235.0
Clay Guida,2014-04-11,-140.0,130.0
Alan Omer,2014-04-11,210.0,-230.0
Thales Leites,2014-04-11,-545.0,465.0
Rani Yahya,2014-04-11,-170.0,160.0
Ryan LaFlare,2014-04-11,-410.0,365.0
Minotauro Nogueira,2014-04-11,150.0,-160.0
Leslie Smith,2014-04-16,245.0,-265.0
Tim Gorman,2014-04-16,285.0,-315.0
Sam Stout,2014-04-16,-105.0,-105.0
Vik Grujic,2014-04-16,215.0,-235.0
Sarah Kaufman,2014-04-16,-265.0,245.0
Mark Bocek,2014-04-16,-660.0,540.0
Mitch Gagnon,2014-04-16,-315.0,285.0
Michael Bisping,2014-04-16,-200.0,185.0
Akira Corassani,2014-04-16,850.0,-1050.0
Patrick Cote,2014-04-16,185.0,-200.0
Ryan Jimmo,2014-04-16,-660.0,540.0
Sean O'Connell,2014-04-16,540.0,-660.0
KJ Noons,2014-04-16,-105.0,-105.0
Sheldon Westcott,2014-04-16,175.0,-190.0
Dustin Kimura,2014-04-16,145.0,-155.0
Mike de la Torre,2014-04-16,540.0,-660.0
Chris Indich,2014-04-16,210.0,-230.0
Olivier Aubin-Mercier,2014-04-16,-155.0,145.0
Kyle Noke,2014-04-16,-200.0,185.0
Nordine Taleb,2014-04-16,-235.0,215.0
Chad Laprise,2014-04-16,145.0,-155.0
Richard Walsh,2014-04-16,-230.0,210.0
Tim Kennedy,2014-04-16,185.0,-200.0
Dustin Poirier,2014-04-16,-1050.0,850.0
George Roop,2014-04-16,-155.0,145.0
Elias Theodorou,2014-04-16,-190.0,175.0
Travis Browne,2014-04-19,-220.0,200.0
Dustin Ortiz,2014-04-19,-155.0,145.0
Mirsad Bektic,2014-04-19,-140.0,130.0
Derrick Lewis,2014-04-19,-290.0,260.0
Fabricio Werdum,2014-04-19,200.0,-220.0
Miesha Tate,2014-04-19,-185.0,170.0
Donald Cerrone,2014-04-19,160.0,-170.0
Brad Tavares,2014-04-19,-145.0,135.0
Rafael Dos Anjos,2014-04-19,275.0,-305.0
Thiago Alves,2014-04-19,-480.0,423.0
Liz Carmouche,2014-04-19,170.0,-185.0
Jorge Masvidal,2014-04-19,-265.0,245.0
Jack May,2014-04-19,260.0,-290.0
Chas Skelly,2014-04-19,130.0,-140.0
Ray Borg,2014-04-19,145.0,-155.0
Estevan Payan,2014-04-19,-115.0,105.0
Hernani Perpetuo,2014-04-19,375.0,-420.0
Luke Zachrich,2014-04-19,265.0,-295.0
Alex White,2014-04-19,105.0,-115.0
Pat Healy,2014-04-19,245.0,-265.0
Caio Magalhaes,2014-04-19,-295.0,265.0
Seth Baczynski,2014-04-19,423.0,-480.0
Khabib Nurmagomedov,2014-04-19,-305.0,275.0
Yoel Romero,2014-04-19,135.0,-145.0
Edson Barboza,2014-04-19,-170.0,160.0
Jordan Mein,2014-04-19,-420.0,375.0
Max Holloway,2014-04-26,125.0,-135.0
Patrick Williams,2014-04-26,100.0,-110.0
Charlie Brenneman,2014-04-26,320.0,-355.0
Joseph Benavidez,2014-04-26,-450.0,400.0
Bethe Correia,2014-04-26,125.0,-135.0
Isaac Vallie-Flagg,2014-04-26,145.0,-155.0
Takanori Gomi,2014-04-26,-155.0,145.0
Tim Elliott,2014-04-26,400.0,-450.0
Andre Fili,2014-04-26,-135.0,125.0
Jessamyn Duke,2014-04-26,-135.0,125.0
Yancy Medeiros,2014-04-26,170.0,-185.0
Tim Boetsch,2014-04-26,800.0,-1000.0
Danny Castillo,2014-04-26,-355.0,320.0
